"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1211","PATCH - Partial update object","api","2026-06-29","passed","2026-06-29","","e2e/api-testing/patch-object.spec.ts","",""
"","336","get method","api","2026-06-29","passed","2026-06-29","","e2e/api-testing/get-object.spec.ts","",""
"","275","Verify user is logged in when accessing home page","chromium","2026-06-29","passed","2026-06-29","Authenticated User Tests - Using Stored Session","tests/assignment2.spec.ts","",""
"","1298","Test case 1: Positive LogIn test","chromium","2026-06-29","passed","2026-06-29","","tests/assignment1.spec.ts","",""
"","1131","DELETE - Delete object","api","2026-06-29","passed","2026-06-29","","e2e/api-testing/delete-object.spec.ts","",""
"","565","Invalid login shows error message","chromium","2026-06-29","passed","2026-06-29","","tests/assignment2.spec.ts","",""
"","762","PUT - Full update object","api","2026-06-29","passed","2026-06-29","","e2e/api-testing/put-object.spec.ts","",""
"","353","get started link","chromium","2026-06-29","passed","2026-06-29","","tests/example.spec.ts","",""
"","294","Verify logout link is available for authenticated user","chromium","2026-06-29","passed","2026-06-29","Authenticated User Tests - Using Stored Session","tests/assignment2.spec.ts","",""
"","317","Verify that user can login successfully","chromium","2026-06-29","passed","2026-06-29","As a user I should be able to login successfully","tests/assignment4.spec.ts","",""
"","597","Test case 2: Negative username test","chromium","2026-06-29","passed","2026-06-29","","tests/assignment1.spec.ts","",""
"","579","Locators","chromium","2026-06-29","passed","2026-06-29","","tests/assignment3.spec.ts","",""
"","1320","Valid login using environment variables","chromium","2026-06-29","passed","2026-06-29","","tests/assignment2.spec.ts","",""
"","525","Verify user can navigate within logged-in area","chromium","2026-06-29","passed","2026-06-29","Authenticated User Tests - Using Stored Session","tests/assignment2.spec.ts","",""
"","1139","Login and save authentication state","setup","2026-06-29","passed","2026-06-29","","tests/auth.setup.ts","",""
"","226","Verify user can open Playwright website","chromium","2026-06-29","passed","2026-06-29","","tests/myfirstTest.spec.ts","",""
"","583","Test case 3: Negative password test","chromium","2026-06-29","passed","2026-06-29","","tests/assignment1.spec.ts","",""
"","1353","Test case 1: Positive LogIn test","chromium","2026-06-29","passed","2026-06-29","","tests/login.spec.ts","",""
"","368","POST - Create object","api","2026-06-29","passed","2026-06-29","","e2e/api-testing/post-object.spec.ts","",""
"","231","has title","chromium","2026-06-29","passed","2026-06-29","","tests/example.spec.ts","",""
